"filename", "language", "JavaScript", "SQL", "TypeScript", "comment", "blank", "total"
"\\wsl.localhost\Ubuntu\home\vince\arweave\beam\hyperbeam\contract-env\warp-dre-node\src\config.js", "JavaScript", 158, 0, 0, 0, 11, 169
"\\wsl.localhost\Ubuntu\home\vince\arweave\beam\hyperbeam\contract-env\warp-dre-node\src\configValidator.js", "JavaScript", 11, 0, 0, 0, 2, 13
"\\wsl.localhost\Ubuntu\home\vince\arweave\beam\hyperbeam\contract-env\warp-dre-node\src\db\00001_unique_contract_tx_id.sql", "SQL", 0, 40, 0, 7, 12, 59
"\\wsl.localhost\Ubuntu\home\vince\arweave\beam\hyperbeam\contract-env\warp-dre-node\src\db\00002_cleanup_indices.sql", "SQL", 0, 6, 0, 1, 6, 13
"\\wsl.localhost\Ubuntu\home\vince\arweave\beam\hyperbeam\contract-env\warp-dre-node\src\db\nodeDb.js", "JavaScript", 242, 0, 0, 9, 31, 282
"\\wsl.localhost\Ubuntu\home\vince\arweave\beam\hyperbeam\contract-env\warp-dre-node\src\listener.js", "JavaScript", 323, 0, 0, 4, 44, 371
"\\wsl.localhost\Ubuntu\home\vince\arweave\beam\hyperbeam\contract-env\warp-dre-node\src\logger.js", "JavaScript", 10, 0, 0, 0, 3, 13
"\\wsl.localhost\Ubuntu\home\vince\arweave\beam\hyperbeam\contract-env\warp-dre-node\src\router.js", "JavaScript", 19, 0, 0, 0, 4, 23
"\\wsl.localhost\Ubuntu\home\vince\arweave\beam\hyperbeam\contract-env\warp-dre-node\src\routes\blacklisted.js", "JavaScript", 10, 0, 0, 0, 2, 12
"\\wsl.localhost\Ubuntu\home\vince\arweave\beam\hyperbeam\contract-env\warp-dre-node\src\routes\cached.js", "JavaScript", 15, 0, 0, 0, 4, 19
"\\wsl.localhost\Ubuntu\home\vince\arweave\beam\hyperbeam\contract-env\warp-dre-node\src\routes\contract.js", "JavaScript", 79, 0, 0, 0, 5, 84
"\\wsl.localhost\Ubuntu\home\vince\arweave\beam\hyperbeam\contract-env\warp-dre-node\src\routes\eraseContract.js", "JavaScript", 56, 0, 0, 0, 5, 61
"\\wsl.localhost\Ubuntu\home\vince\arweave\beam\hyperbeam\contract-env\warp-dre-node\src\routes\errors.js", "JavaScript", 10, 0, 0, 0, 2, 12
"\\wsl.localhost\Ubuntu\home\vince\arweave\beam\hyperbeam\contract-env\warp-dre-node\src\routes\kv.js", "JavaScript", 24, 0, 0, 1, 4, 29
"\\wsl.localhost\Ubuntu\home\vince\arweave\beam\hyperbeam\contract-env\warp-dre-node\src\routes\scheduleSync.js", "JavaScript", 33, 0, 0, 0, 8, 41
"\\wsl.localhost\Ubuntu\home\vince\arweave\beam\hyperbeam\contract-env\warp-dre-node\src\routes\state.js", "JavaScript", 39, 0, 0, 0, 6, 45
"\\wsl.localhost\Ubuntu\home\vince\arweave\beam\hyperbeam\contract-env\warp-dre-node\src\routes\status.js", "JavaScript", 42, 0, 0, 2, 8, 52
"\\wsl.localhost\Ubuntu\home\vince\arweave\beam\hyperbeam\contract-env\warp-dre-node\src\signature.js", "JavaScript", 24, 0, 0, 0, 6, 30
